OBJECTID,GEOID_20,Land Acres,Water Acres,Census Tract Number,Census Block Group,Census Tract and Block Group,Block Group Name,Census Tract Label,Council District,Comprehensive Plan Growth Area,Comprehensive Plan Area Name,ACS Vinatage,Total Population,Children under 5,Children under 18,Older Adults 65 and over,Median Age,Male,Female,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some Other Race alone,Not Hispanic or Latino Two or more races,Hispanic or Latino (of any race),People of Color,Total Households,Family Households (families),Nonfamily Households,Householder Living Alone,Less than a high school education,Bachelor degree or higher,Workers 16 years and over,Worked from home,Car truck or van - drove alone,Public Transportation (excluding taxicab),No Vehicles Available,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Total Housing Units,1-unit detached,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),High Density Housing (50+ units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Population 18 years and Over,Population 18 years and Over with a Disability,Population Civilian Noninstitutionalized,Population without Health Insurance,Population 5 years and Over,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Spanish Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Other Languages Limited English Speaking Households,Owner Households,Renter Households,Gross Rent 30% or more of Household Income,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Monthly Costs 30% or more of Household Income (owners with a mortgage),Population 25 years and Over,Household Population,Family Household Population,Owner Household Population,Renter Household Population,Meidan Gross Rent,Median Selected Monthly Owner Costs for Households with a Mortgage,Per Capita Income,Median Household Income,Median Earnings Males Worked full-time year-round,Median Earnings Females Worked full-time year-round,"Household Income $100,000 or more","Family Household Income $100,000 or more","Nonfamily Household Income $100,000 or more",Median Family Household Income,Median Nonfamily Household Income,Median Earnings All Workers,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Households with People under 18 years,Households with People 65 years and over,Working Age Adults to 64 Years,Group Quarters Population,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years below poverty employed,Population 20 to 64 years employed,Neighborhood Subtype,Council District Type,Urban Center Village Type,"Earnings $50,000 or More Male Workers","Earnings $50,000 or More Female Workers",Population 16 years and over with earnings,Males 16 years and over with earnings,Females 16 years and over with earnings,Shape__Area,Shape__Length
313,530330051001,79.21135981,0,5100,1,5100.1,Block Group 1,51,4,203,Wallingford,5Y23,1537,45,219,121,32.5,700,837,1084,17,0,83,0,0,111,242,453,707,310,397,253,2,810,996,356,375,115,67,94,284,132,104,18,8,769,280,136,353,0,61,169,144,177,81,92,44,1318,92,1537,79,1492,318,20,0,0,0,0,0,262,445,195,205,72,1059,1537,906,746,791,1981,3147,71611,99625,95402,95074,352,214,138,182206,73472,66635,746,145,102,18,3,161,82,1197,0,1346,315,1031,17,1537,74,47,9,24,106,33,1244,310,1,1,0,0,0,1131,106,50,957,Residential Urban Village,CD,UCUV,412,260,1139,520,619,3450235.11053467,7475.88098019492
314,530330058013,83.58611349,0,5801,3,5801.3,Block Group 3,58.01,6,0,Outside Villages,5Y23,1555,26,179,253,42.4,773,782,997,21,25,308,0,0,52,152,558,774,403,371,187,0,876,893,215,295,203,18,105,272,208,39,0,54,824,289,186,254,95,0,0,179,458,51,86,0,1376,88,1555,67,1529,227,40,9,0,0,9,0,453,321,81,343,54,1327,1555,981,877,678,1948,2753,84422,134167,138690,108750,552,326,226,125461,134188,99271,693,76,123,0,23,140,197,1123,0,1398,448,950,35,1555,66,26,0,0,22,20,1421,403,13,0,13,0,0,1123,79,13,865,Outside Villages,CD,UCUV,430,337,999,524,475,3640815.65515137,8430.24467031756
315,530330065002,64.01388463,0,6500,2,6500.2,Block Group 2,65,3,414,First Hill/Capitol Hill,5Y23,1347,0,36,127,37.9,711,636,918,7,0,186,0,0,40,196,429,776,215,561,392,1,866,1029,320,372,129,93,149,321,203,36,0,0,822,187,179,456,0,0,85,220,241,139,32,59,1311,108,1347,199,1347,244,39,0,0,0,0,0,293,483,227,230,14,1157,1326,539,617,709,2032,3723,124943,133472,174261,88472,512,215,297,250000+,110737,80163,757,96,144,32,0,18,92,1184,21,1329,212,1117,88,1347,124,42,9,0,0,0,1172,215,0,0,0,0,0,1167,157,53,970,Urban Center,CD,UCUV,499,313,1115,586,529,2788304.21258545,7156.8237866407
316,530330047013,31.64950438,0,4701,3,4701.3,Block Group 3,47.01,6,303,Ballard,5Y23,1177,0,18,184,31.6,537,640,797,10,0,304,0,0,0,66,380,845,189,656,505,0,724,767,158,362,132,160,21,164,269,76,46,33,888,0,0,222,666,61,116,513,166,50,0,0,1159,180,1177,84,1177,373,86,44,0,0,44,0,219,626,430,71,0,885,1177,364,379,798,2268,3363,76001,70292,83245,60489,366,142,224,122375,65500,62865,626,0,141,0,0,23,145,975,0,1159,294,865,98,1177,14,106,0,0,0,0,1057,189,23,0,0,23,0,975,83,23,767,Hub Urban Village,CD,UCUV,408,267,952,477,475,1378592.00189209,5998.90248552193
317,530330001021,220.85463561,227.05969885,102,1,102.1,Block Group 1,1.02,5,0,Outside Villages,5Y23,1757,0,196,416,48.2,804,953,1679,0,0,26,0,20,13,19,78,641,514,127,78,118,1095,988,485,365,52,0,61,273,122,23,13,11,641,641,0,0,0,0,0,0,26,247,208,160,1561,178,1757,227,1757,82,0,0,0,0,0,0,527,114,47,258,93,1449,1757,1460,1336,421,3500+,4001,103651,191010,216166,238750,573,458,106,250000+,106743,69718,774,142,140,0,36,108,267,1145,0,1599,507,1092,0,1757,126,0,0,38,48,0,1545,514,23,0,23,0,0,1104,126,0,893,Outside Villages,CD,UCUV,426,227,1179,528,651,8987063.80462646,16383.653868401
318,530330004043,31.70880967,0,404,3,404.3,Block Group 3,4.04,5,114,Bitter Lake Village,5Y23,1151,64,197,168,29.9,526,625,359,338,0,37,0,0,31,386,792,776,240,536,514,34,175,656,68,415,148,174,47,208,211,62,60,0,914,0,40,74,800,38,103,467,188,18,0,0,954,186,1151,84,1087,417,241,102,38,0,22,42,0,776,628,0,0,922,1151,590,0,1151,1611,-,30501,38629,46500,54205,22,0,22,63185,31667,38125,105,232,156,17,146,148,167,786,0,973,317,656,0,1151,32,223,12,0,277,36,571,240,68,0,0,68,0,786,175,77,642,Hub Urban Village,CD,UCUV,128,121,702,321,381,1381128.42007446,5424.52779683244
319,530330027002,122.0878501,0,2700,2,2700.2,Block Group 2,27,6,0,Outside Villages,5Y23,1363,144,197,218,31.7,759,604,1095,0,0,109,0,0,80,79,268,532,443,89,51,11,873,1005,432,239,238,0,76,309,172,16,0,0,602,532,70,0,0,0,0,0,66,132,183,151,1166,37,1363,82,1219,79,0,0,0,0,0,0,314,218,47,210,46,1118,1363,1163,900,463,3500+,4001,101213,206917,193162,-,467,427,40,250000+,71797,69072,722,111,130,0,42,142,141,948,0,1182,177,1005,0,1363,27,41,0,18,114,0,1163,443,0,0,0,0,0,948,68,55,924,Outside Villages,CD,UCUV,267,288,1005,576,429,5317815.67163086,10154.0618054273
320,530330032011,98.44258324,65.08459225,3201,1,3201.1,Block Group 1,32.01,6,0,Outside Villages,5Y23,1418,19,58,172,38.3,599,819,775,59,0,367,0,0,53,164,643,1035,159,876,748,0,933,1230,493,310,80,144,33,119,471,27,60,27,1084,163,299,416,206,0,67,373,185,336,74,0,1360,53,1418,26,1399,92,14,0,0,0,0,0,408,627,199,373,44,1313,1418,388,605,813,2034,4001,121876,140461,84393,145804,669,138,531,187277,114559,104196,974,27,168,61,0,37,126,1188,0,1377,147,1230,0,1418,0,27,0,0,23,0,1368,159,0,0,0,0,0,1188,0,0,1188,Outside Villages,CD,UCUV,397,686,1230,501,729,4377386.68936157,17411.3312796766
321,530330032012,161.67833303,269.57022607,3201,2,3201.2,Block Group 2,32.01,6,0,Outside Villages,5Y23,1552,53,315,477,53.7,779,773,1484,0,0,0,0,0,56,12,68,637,353,284,237,0,718,614,197,165,40,13,149,77,149,42,0,0,637,255,67,171,97,0,0,26,287,129,122,73,1237,122,1552,41,1499,0,0,0,0,0,0,0,605,32,32,275,77,1120,1552,1219,1481,71,-,3647,138731,137844,102348,-,514,296,218,166750,126429,0,478,92,19,0,25,164,337,760,0,1279,623,656,42,1552,31,0,0,0,45,12,1464,353,14,0,14,0,0,668,0,0,453,Outside Villages,CD,UCUV,302,111,656,435,221,6480167.61401367,17880.2076020007
322,530330054012,86.80639082,73.19632061,5401,2,5401.2,Block Group 2,54.01,4,0,Outside Villages,5Y23,1085,16,81,82,31.7,650,435,754,23,0,225,0,0,66,17,331,694,202,492,376,0,870,793,206,275,111,16,162,209,216,0,0,0,707,159,161,250,116,15,17,354,137,46,140,0,1004,27,1085,0,1069,156,10,0,0,0,0,0,159,535,179,60,0,974,1085,482,244,841,2231,4001,114216,153833,134727,92279,464,202,262,175172,138526,120284,703,17,55,0,33,85,64,922,0,1004,196,808,0,1085,15,0,0,0,0,0,1070,202,0,0,0,0,0,922,15,0,789,Outside Villages,CD,UCUV,493,158,837,510,327,3548558.51663208,11073.2631367706
