OBJECTID,GEOID_20,Land Acres,Water Acres,Census Tract Number,Census Block Group,Census Tract and Block Group,Block Group Name,Census Tract Label,Council District,Comprehensive Plan Growth Area,Comprehensive Plan Area Name,ACS Vinatage,Total Population,Children under 5,Children under 18,Older Adults 65 and over,Median Age,Male,Female,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some Other Race alone,Not Hispanic or Latino Two or more races,Hispanic or Latino (of any race),People of Color,Total Households,Family Households (families),Nonfamily Households,Householder Living Alone,Less than a high school education,Bachelor degree or higher,Workers 16 years and over,Worked from home,Car truck or van - drove alone,Public Transportation (excluding taxicab),No Vehicles Available,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Total Housing Units,1-unit detached,Low Density Housing (1-unit att - 4 units),Medium Density Housing (5-49 units),High Density Housing (50+ units),Overcrowded Units (>1 occupants/room),No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,Population 18 years and Over,Population 18 years and Over with a Disability,Population Civilian Noninstitutionalized,Population without Health Insurance,Population 5 years and Over,Population Speaks a Language Other than English,Population Speaks English Less than Very Well,Households with Limited English,Spanish Limited English Speaking Households,Other Indo-European Languages Limited English Speaking Households,Asian and Pacific Island Languages Limited English Speaking Households,Other Languages Limited English Speaking Households,Owner Households,Renter Households,Gross Rent 30% or more of Household Income,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Monthly Costs 30% or more of Household Income (owners with a mortgage),Population 25 years and Over,Household Population,Family Household Population,Owner Household Population,Renter Household Population,Meidan Gross Rent,Median Selected Monthly Owner Costs for Households with a Mortgage,Per Capita Income,Median Household Income,Median Earnings Males Worked full-time year-round,Median Earnings Females Worked full-time year-round,"Household Income $100,000 or more","Family Household Income $100,000 or more","Nonfamily Household Income $100,000 or more",Median Family Household Income,Median Nonfamily Household Income,Median Earnings All Workers,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Households with People under 18 years,Households with People 65 years and over,Working Age Adults to 64 Years,Group Quarters Population,Population 16 years and over,Population 16 years and over not in labor force,Population 16 years and over in civilian labor force,Population 16 years and over in civilian labor force unemployed,Population for whom poverty status is determined,People with Income to Poverty Ratio Under .50,People with Income to Poverty .50 to .99,People with Income to Poverty 1.00 to 1.24,People with Income to Poverty 1.25 to 1.49,People with Income to Poverty 1.50 to 1.84,People with Income to Poverty 1.85 to 1.99,People with Income to Poverty 2.00 and over,Families for whom poverty status is determined,Families with income in the past 12 months below poverty level,Married-couple family with related children of the householder under 18 years below poverty,Married-couple family without related children of the householder under 18 years below poverty,Single parents with related children of the householder under 18 years below poverty,Other family below poverty,Population 20 to 64 years for whom poverty status is determined,Population 20 to 64 years below poverty,Population 20 to 64 years below poverty employed,Population 20 to 64 years employed,Neighborhood Subtype,Council District Type,Urban Center Village Type,"Earnings $50,000 or More Male Workers","Earnings $50,000 or More Female Workers",Population 16 years and over with earnings,Males 16 years and over with earnings,Females 16 years and over with earnings,Shape__Area,Shape__Length
1,530330105012,88.85267049,0,10501,2,10501.2,Block Group 2,105.01,1,0,Outside Villages,5Y23,1380,0,168,437,48.5,575,805,1098,71,0,22,8,10,101,70,282,598,312,286,268,15,856,650,164,422,0,121,31,127,228,100,0,0,691,315,152,106,118,0,50,81,96,320,51,0,981,257,1149,31,1380,137,35,0,0,0,0,0,413,185,25,394,78,1212,1149,845,889,260,2015,3273,67487,107069,126677,74783,344,221,94,164783,-,84402,417,11,124,25,73,95,202,775,231,1232,500,732,82,1149,203,0,0,0,31,0,915,312,29,0,0,29,0,767,79,29,589,Outside Villages,CD,UCUV,308,160,741,412,329,3870306.78364563,9181.2601310133
2,530330105022,93.41843662,0,10502,2,10502.2,Block Group 2,105.02,1,0,Outside Villages,5Y23,1982,78,273,351,38.9,1065,917,1460,0,0,0,0,175,107,240,522,710,396,314,36,0,805,1228,602,412,69,19,45,96,157,207,69,52,710,710,0,0,0,0,0,46,28,481,100,55,1709,211,1982,61,1904,371,0,0,0,0,0,0,435,275,19,267,0,1622,1982,1358,1277,705,-,3509,79459,250000+,138714,113375,635,340,295,203523,250000+,104097,602,50,550,0,48,175,221,1358,0,1761,511,1250,0,1982,125,19,0,140,0,0,1698,396,0,0,0,0,0,1320,125,97,1094,Outside Villages,CD,UCUV,559,441,1365,762,603,4069196.27165222,9132.54301110543
3,530330106023,74.93470697,0,10602,3,10602.3,Block Group 3,106.02,1,0,Outside Villages,5Y23,1164,11,146,172,35.7,629,535,983,24,0,33,0,0,107,17,181,657,298,359,304,33,649,789,286,389,97,87,202,17,34,172,17,61,765,404,11,350,0,5,183,29,138,242,65,0,1018,124,1164,17,1153,56,33,14,0,0,14,0,326,331,165,302,15,914,1164,747,713,451,1295,4001,91359,87974,-,76707,270,209,61,250000+,46545,63350,452,122,115,72,28,78,124,846,0,1039,222,817,28,1164,120,24,0,0,58,0,962,298,10,10,0,0,0,814,119,34,701,Outside Villages,CD,UCUV,237,247,849,498,351,3264103.60150146,7252.17520862367
4,530330107012,98.66621361,0,10701,2,10701.2,Block Group 2,107.01,1,0,Outside Villages,5Y23,954,95,179,86,32.3,501,453,503,178,0,146,0,0,0,127,451,412,282,130,96,42,363,561,161,297,85,42,0,97,194,32,77,0,442,195,39,172,36,7,7,75,160,82,42,46,775,79,954,25,859,231,110,29,0,0,29,0,197,215,98,175,68,705,954,749,470,484,1672,2869,47056,88333,61696,37788,173,129,44,84302,90400,58125,333,93,91,0,55,96,58,689,0,775,194,581,9,954,41,24,0,41,0,42,806,282,17,0,0,0,17,639,38,0,561,Outside Villages,CD,UCUV,223,123,581,335,246,4297806.80447388,11496.3541280413
5,530330111021,160.18038021,282.55017755,11102,1,11102.1,Block Group 1,111.02,2,0,Outside Villages,5Y23,1850,90,480,534,47.7,874,976,1138,73,0,149,0,0,322,168,712,576,434,142,122,7,1065,730,259,409,32,10,33,216,168,54,0,0,588,579,9,0,0,0,0,0,41,291,200,44,1155,81,1635,0,1760,169,36,0,0,0,0,0,430,146,67,222,59,1338,1635,1422,1143,492,3004,3368,83605,152167,116250,145227,482,335,89,211000,137839,72191,537,20,115,34,24,273,210,836,215,1448,709,739,9,1548,46,0,12,50,0,21,1419,434,10,0,10,0,0,836,27,0,607,Outside Villages,CD,UCUV,295,300,927,440,487,6948791.15609741,16141.4679041555
6,530330111023,29.2261419,0,11102,3,11102.3,Block Group 3,111.02,2,0,Outside Villages,5Y23,1146,83,278,60,36.7,476,670,132,476,0,84,0,0,111,343,1014,485,196,289,230,79,202,533,99,229,93,127,163,131,48,9,69,14,485,120,10,339,16,74,13,326,61,46,0,39,868,52,1146,155,1063,485,220,0,0,0,0,0,120,365,185,87,65,830,1132,772,349,783,1531,3441,35851,68321,45136,68626,131,117,14,101218,68035,45085,299,241,37,47,42,91,51,808,14,868,146,722,56,1146,2,33,64,363,0,0,684,196,16,0,16,0,0,798,33,0,644,Outside Villages,CD,UCUV,79,225,722,332,390,1273065.28192139,5191.31740959294
7,530330111024,62.09708819,0,11102,4,11102.4,Block Group 4,111.02,2,0,Outside Villages,5Y23,1165,127,307,104,31.5,681,484,229,118,0,627,0,49,43,99,936,349,246,103,39,28,373,632,73,261,224,0,10,216,158,125,50,0,377,193,56,78,50,118,0,68,110,95,59,17,858,54,1165,49,1038,419,111,0,0,0,0,0,174,175,24,133,50,781,1165,947,510,655,1438,2943,44903,92475,68313,46200,163,116,47,98409,76750,46677,350,118,75,0,108,148,66,754,0,897,212,685,34,1165,43,11,17,22,14,219,839,246,0,0,0,0,0,695,45,33,605,Outside Villages,CD,UCUV,209,96,723,436,287,2704903.86665344,8976.86101075639
8,530330112002,231.08109183,34.50727812,11200,2,11200.2,Block Group 2,112,1,128,South Park,5Y23,1521,138,323,117,33.7,928,593,736,73,48,327,0,0,73,264,785,540,313,227,166,205,342,848,56,601,138,56,156,353,239,14,30,0,566,225,233,108,0,31,45,219,108,106,42,20,1138,297,1461,74,1383,651,254,25,14,0,11,0,195,345,195,128,0,891,1521,1110,594,927,1514,2608,33468,82800,56667,63488,181,91,37,81083,44112,45438,275,181,53,127,159,158,97,1081,0,1269,342,867,72,1521,175,307,29,93,41,9,867,313,73,20,0,53,0,1025,217,131,737,Residential Urban Village,CD,UCUV,291,153,935,576,359,9912528.63633728,18607.5485221884
9,530330113001,512.25711635,10.43278921,11300,1,11300.1,Block Group 1,113,1,0,Outside Villages,5Y23,2080,121,335,594,40.6,774,1306,972,295,2,384,0,0,133,294,1108,1031,510,521,483,34,780,952,200,579,52,277,159,86,378,120,0,9,1217,462,16,153,586,0,18,320,232,348,78,35,1729,278,2064,157,1959,634,314,95,14,0,81,0,423,608,520,244,42,1556,2080,1510,1187,893,1435,3736,55162,49232,98281,89224,424,367,57,160970,28922,62155,549,98,132,46,144,220,533,1151,0,1761,762,983,14,2080,201,34,47,29,295,29,1445,510,51,0,0,0,51,1111,145,107,819,Outside Villages,CD,UCUV,315,320,1106,504,602,22768019.2851257,23061.9396336452
10,530330113004,97.67952182,0,11300,4,11300.4,Block Group 4,113,1,0,Outside Villages,5Y23,895,37,130,61,36.4,490,405,540,30,0,105,0,17,113,90,355,376,238,138,76,34,426,577,112,278,18,18,53,188,207,17,0,0,376,358,18,0,0,36,18,0,78,138,128,14,765,70,895,0,858,115,72,18,0,0,18,0,324,52,17,269,56,694,895,697,788,107,2735,3032,69727,181447,128529,116417,261,164,79,189808,113971,93125,361,104,96,16,0,91,56,704,0,765,168,597,20,895,30,0,0,26,12,0,827,238,0,0,0,0,0,691,14,14,564,Outside Villages,CD,UCUV,236,230,597,315,282,4254858.33828735,11528.9528058482
11,530330114022,79.30501275,0,11402,2,11402.2,Block Group 2,114.02,1,127,Westwood-Highland Park,5Y23,1773,115,355,39,35,871,902,748,80,0,234,0,11,120,580,1025,713,333,380,198,238,604,1110,266,552,156,43,150,409,56,128,82,19,713,228,206,279,0,95,39,126,217,319,4,8,1418,112,1773,269,1658,774,289,49,30,0,0,19,344,369,64,293,98,1276,1768,1207,874,894,1556,2817,48942,116541,57014,72521,414,265,148,133278,72500,54640,433,298,248,36,127,201,39,1379,5,1429,207,1222,80,1773,26,53,24,47,18,0,1605,333,19,0,0,0,19,1331,62,16,1142,Residential Urban Village,CD,UCUV,336,368,1239,594,645,3454469.06072998,9013.18179019764
12,530330115002,131.49564619,0,11500,2,11500.2,Block Group 2,115,1,0,Outside Villages,5Y23,1284,42,183,188,45.4,542,742,894,12,0,73,0,0,210,95,390,638,318,320,272,0,646,833,218,445,79,9,69,238,232,32,44,0,688,514,17,157,0,0,0,134,203,226,49,26,1101,93,1284,45,1242,122,10,0,0,0,0,0,438,200,159,293,58,1031,1284,892,967,317,1565,3235,83931,122500,109821,73795,370,268,102,200250,71111,73750,554,91,192,0,35,130,138,913,0,1101,229,872,0,1284,13,0,0,0,31,0,1240,318,0,0,0,0,0,895,13,0,808,Outside Villages,CD,UCUV,258,320,928,376,552,5727877.25608826,11934.5257378552
13,530330121001,213.83906672,291.23098961,12100,1,12100.1,Block Group 1,121,1,0,Outside Villages,5Y23,1251,18,167,365,56.7,614,637,982,0,0,164,0,0,70,35,269,620,402,218,199,0,844,578,204,330,26,0,44,49,165,63,53,0,662,559,21,69,13,0,0,28,134,199,186,73,1084,142,1251,0,1233,129,44,27,0,0,18,9,590,30,19,370,37,1026,1251,1015,1221,30,2325,4001,139879,201964,194554,116979,425,340,85,250000+,-,147917,445,15,76,26,16,104,244,719,0,1091,507,584,6,1251,0,0,0,23,0,5,1223,402,0,0,0,0,0,689,0,0,526,Outside Villages,CD,UCUV,271,251,601,307,294,9158361.81434631,21103.9411476385
14,530330068001,63.92146722,0,6800,1,6800.1,Block Group 1,68,7,0,Outside Villages,5Y23,1214,81,257,194,39.1,613,601,1006,0,0,48,0,0,55,105,208,475,281,194,147,23,709,684,334,239,42,67,10,212,113,15,0,0,489,322,82,74,11,21,67,22,54,132,138,62,957,102,1214,11,1133,204,67,26,15,11,0,0,282,193,86,183,31,819,1214,872,718,496,2465,4001,153075,250000+,168250,113958,370,251,119,250000+,102037,110000,498,29,104,15,48,113,149,763,0,966,261,705,11,1214,12,11,0,0,0,0,1191,281,0,0,0,0,0,751,23,0,629,Outside Villages,CD,UCUV,293,274,738,370,368,2784291.14501953,7972.44246288029
15,530330071012,97.4531733,0,7101,2,7101.2,Block Group 2,71.01,7,412,Uptown,5Y23,1535,33,33,66,33.1,994,541,843,190,0,249,0,0,188,65,692,882,101,781,548,40,842,1060,414,223,163,292,67,324,168,1,86,0,921,0,40,325,556,25,239,452,151,40,0,0,1502,325,1535,23,1502,323,51,25,0,10,15,0,162,720,276,162,59,1409,1226,219,256,970,2319,4001,95047,138790,116138,84782,625,101,524,250000+,128352,112266,803,89,159,42,17,11,42,1436,309,1502,279,1223,113,1513,143,137,30,21,30,20,1132,101,0,0,0,0,0,1436,259,22,1108,Urban Center,CD,UCUV,669,379,1241,794,447,4244878.03207397,9099.43769850298
16,530330079023,47.71011866,0,7902,3,7902.3,Block Group 3,79.02,3,0,Outside Villages,5Y23,1286,45,224,96,32.2,655,631,940,0,11,161,0,0,174,0,346,596,192,404,197,0,765,907,337,358,117,52,166,148,211,45,0,0,611,343,122,65,81,0,42,106,101,243,90,14,1062,111,1286,0,1241,133,18,18,0,18,0,0,273,323,125,206,141,978,1286,543,688,598,2394,3881,89910,142417,61758,118125,372,109,263,-,164500,78125,679,104,30,97,14,145,51,966,0,1100,158,942,18,1286,20,0,0,35,0,0,1231,192,0,0,0,0,0,966,20,20,839,Outside Villages,CD,UCUV,507,351,941,538,403,2078158.51437378,6879.04518310225
17,530330073022,42.35831031,0,7302,2,7302.2,Block Group 2,73.02,7,413,Downtown,5Y23,2270,0,0,25,31.3,1453,817,613,157,43,1133,0,38,65,221,1657,1596,193,1403,1098,208,1354,1988,607,330,80,858,393,609,299,38,0,42,2023,31,0,166,1826,123,716,617,232,31,0,0,2234,143,2234,202,2270,948,273,159,51,0,108,0,189,1407,601,150,0,1869,2141,435,285,1856,2809,3288,127335,157153,136897,-,936,103,833,-,156701,116827,1370,285,358,0,11,0,25,2245,129,2270,111,2123,99,2270,259,17,0,0,42,0,1952,193,0,0,0,0,0,2245,276,190,2024,Urban Center,CD,UCUV,846,514,2132,1394,738,1845034.14825439,6872.15215944087
18,530330074051,19.36984955,0,7405,1,7405.1,Block Group 1,74.05,3,414,First Hill/Capitol Hill,5Y23,1341,59,59,0,27.7,820,521,761,128,79,272,0,0,62,39,580,917,223,694,533,0,707,1200,307,159,505,317,156,469,175,72,0,21,1027,79,19,688,241,20,102,425,311,79,0,0,1282,19,1341,100,1282,130,0,0,0,0,0,0,126,791,186,79,0,1056,1341,471,183,1158,2010,2224,104714,131319,110875,107643,586,170,416,131875,128421,79211,866,73,212,0,49,53,0,1282,0,1282,62,1220,20,1341,21,0,24,0,161,45,1090,223,0,0,0,0,0,1229,21,0,1147,Urban Center,CD,UCUV,652,326,1266,820,446,843743.328033447,4628.72547565759
19,530330084013,28.10873137,0,8401,3,8401.3,Block Group 3,84.01,3,414,First Hill/Capitol Hill,5Y23,1002,0,56,61,32.8,588,414,586,0,4,291,31,0,49,41,416,631,235,396,290,47,596,812,322,200,100,80,156,165,150,0,0,19,710,21,46,40,603,22,109,236,269,17,0,0,937,56,993,0,1002,342,37,19,19,0,0,0,130,501,40,65,48,834,993,485,223,770,2649,4001,121146,194421,145469,98988,568,235,333,207292,194167,126250,491,101,216,0,4,27,73,885,9,977,165,812,0,993,21,0,0,0,0,0,972,235,0,0,0,0,0,878,21,0,805,Urban Center,CD,UCUV,467,198,843,583,260,1224352.33078003,5079.09316801735
20,530330090001,99.05812275,0,9000,1,9000.1,Block Group 1,90,3,109,23rd & Union-Jackson,5Y23,1580,119,204,534,41.5,646,934,434,245,0,513,0,0,222,166,1146,826,276,550,454,137,610,736,311,210,116,329,178,128,84,19,16,0,857,159,51,300,347,64,252,240,183,130,21,0,1342,276,1546,43,1461,620,389,245,0,0,229,16,126,700,360,63,7,1244,1459,736,311,1148,1292,4001,49516,41400,105690,67803,211,103,108,-,33548,45933,507,145,74,10,0,117,396,842,121,1395,593,802,66,1546,170,145,54,59,113,98,907,276,65,0,33,32,0,842,48,5,670,Residential Urban Village,CD,UCUV,209,157,829,378,451,4314819.99612427,8249.906590846
21,530330092001,32.97522475,0,9200,1,9200.1,Block Group 1,92,2,413,Downtown,5Y23,2224,24,151,456,39.9,1461,763,623,273,0,985,0,0,186,157,1601,1588,215,1373,1207,646,560,1234,254,208,606,1109,213,325,195,219,28,0,1770,0,0,275,1495,136,788,635,125,40,0,0,2073,598,2224,202,2200,1007,615,317,19,0,298,0,66,1522,817,66,0,1850,2224,662,124,2100,1184,-,35226,36350,62117,56563,154,30,124,23083,37088,41059,408,340,182,175,133,82,401,1617,0,2091,814,1277,39,2224,224,586,384,4,65,0,961,215,119,0,66,34,19,1599,471,215,1207,Urban Center,CD,UCUV,462,85,1310,1009,301,1436342.5864563,5221.04332875272
22,530330098012,87.50026273,0,9801,2,9801.2,Block Group 2,98.01,1,0,Outside Villages,5Y23,1463,95,406,146,39.2,706,757,1237,0,0,0,0,0,89,137,226,575,320,255,206,1,674,710,352,262,48,0,94,127,81,8,0,48,602,490,64,48,0,0,0,71,99,238,160,7,1057,2,1463,48,1368,182,26,26,26,0,0,0,488,87,71,384,112,949,1459,1153,1364,95,1806,4001,89408,145662,156111,115028,393,301,92,209300,-,83021,505,13,110,0,118,247,123,911,4,1164,371,793,47,1463,16,22,1,0,43,49,1332,320,0,0,0,0,0,863,38,0,644,Outside Villages,CD,UCUV,347,156,855,524,331,3811389.05001831,9312.13290960647
23,530330100013,106.05515873,0,10001,3,10001.3,Block Group 3,100.01,2,111,Columbia City,5Y23,1541,105,396,274,43.4,611,930,254,729,0,411,0,0,94,53,1287,659,348,311,270,340,325,517,157,273,77,228,120,122,65,42,11,0,735,78,349,119,161,48,11,202,136,149,123,38,1145,278,1541,14,1436,920,575,227,0,0,156,71,261,398,305,154,25,1007,1536,1163,833,703,486,3140,69080,45195,165972,46373,248,182,55,127892,-,47279,248,130,138,11,51,194,252,871,5,1197,595,602,24,1541,57,402,234,29,0,5,814,348,83,15,0,20,48,848,240,76,572,Residential Urban Village,CD,UCUV,153,159,633,201,432,4619627.6096344,13851.7878180436
24,530330101011,52.21460266,0,10101,1,10101.1,Block Group 1,101.01,2,305,Mt Baker,5Y23,994,18,103,348,53,467,527,360,252,0,237,0,14,78,53,634,525,120,405,386,160,221,426,65,85,124,121,0,108,91,33,0,129,551,155,133,23,240,10,113,253,10,50,72,27,749,115,852,113,976,360,243,154,0,0,41,113,129,396,334,104,39,853,831,406,401,430,929,3700,52301,43300,76346,44336,129,110,19,-,38994,44572,292,67,58,0,37,79,180,543,163,891,426,465,11,852,38,0,57,17,16,30,694,120,0,0,0,0,0,535,21,0,408,Hub Urban Village,CD,UCUV,126,85,474,228,246,2274410.76074219,7104.70325196721
25,530330002021,122.32853075,0,202,1,202.1,Block Group 1,2.02,5,0,Outside Villages,5Y23,1362,20,242,267,45,586,776,828,148,0,145,0,0,93,148,534,491,270,221,65,68,761,752,141,457,49,23,63,342,179,27,0,0,491,422,34,24,11,0,0,0,109,248,100,34,1120,140,1362,0,1342,404,109,14,0,14,0,0,372,119,17,231,65,1090,1306,903,987,319,1760,2816,61128,172721,101324,79306,333,236,97,213194,-,67692,394,210,135,13,4,123,166,853,56,1120,289,831,75,1362,75,31,14,28,0,0,1214,270,0,0,0,0,0,853,59,12,687,Outside Villages,CD,UCUV,273,310,824,413,411,5328259.90673828,10885.8230426951
26,530330002022,121.8214705,0,202,2,202.2,Block Group 2,2.02,5,201,Lake City,5Y23,1613,268,440,150,33.4,847,766,654,55,0,334,0,0,210,360,959,570,390,180,139,26,587,796,301,364,63,23,80,123,186,99,7,0,600,347,80,89,84,22,12,125,153,96,137,47,1173,102,1613,184,1345,468,318,83,46,0,37,0,343,227,124,271,42,1059,1613,1371,1046,567,1415,3440,50388,122833,121117,88750,346,312,34,129821,-,48750,372,82,140,189,54,237,143,1023,0,1173,313,860,23,1613,8,15,56,12,25,0,1497,390,0,0,0,0,0,1023,23,8,813,Hub Urban Village,CD,UCUV,263,207,940,585,355,5306166.24285889,10653.9369079582
27,530330004022,214.79289349,0,402,2,402.2,Block Group 2,4.02,5,0,Outside Villages,5Y23,1278,0,304,183,40.8,539,739,822,42,0,54,0,39,136,185,456,526,394,132,132,0,764,732,256,272,144,73,37,212,136,20,59,12,526,357,25,89,55,0,47,58,116,153,46,106,974,107,1278,0,1278,173,96,25,0,0,25,0,422,104,55,256,113,905,1274,1142,1029,245,1157,2600,67069,142102,-,71932,358,280,23,157059,36250,78281,475,143,55,17,42,209,165,791,4,993,245,748,16,1278,16,67,0,0,0,34,1161,394,8,0,0,8,0,749,44,28,644,Outside Villages,CD,UCUV,326,226,765,443,322,9355713.21871948,16768.1632845409
28,530330013003,107.11919451,0,1300,3,1300.3,Block Group 3,13,5,101,Aurora-Licton Springs,5Y23,1587,19,70,86,37,778,809,931,192,0,179,0,0,67,218,656,812,294,518,408,69,515,1127,193,464,189,139,243,393,146,38,114,0,812,216,197,333,66,0,79,169,294,213,57,0,1517,241,1587,36,1568,331,93,32,0,0,0,32,310,502,275,291,101,1320,1484,700,735,749,1675,3452,64643,83190,54988,85000,349,138,211,98594,71000,54502,604,158,157,99,152,57,74,1431,103,1543,334,1209,39,1568,136,107,41,61,59,26,1138,294,13,0,0,13,0,1389,208,70,1082,Residential Urban Village,CD,UCUV,348,390,1261,655,606,4665799.28125,9568.45220313985
29,530330017013,65.26819155,0,1701,3,1701.3,Block Group 3,17.01,5,0,Outside Villages,5Y23,1230,68,113,67,30.9,757,473,861,111,0,66,21,18,20,133,369,494,192,302,190,53,623,880,235,433,179,89,172,175,60,221,0,17,638,202,212,203,21,0,0,118,168,104,98,6,1117,44,1230,127,1162,119,19,6,0,6,0,0,215,279,67,194,22,1071,1230,514,368,862,2144,2919,69081,144048,86885,89167,316,154,162,222988,121719,58860,549,94,159,36,42,71,66,1050,0,1124,160,964,84,1230,151,0,0,37,35,0,1007,192,17,0,0,17,0,1050,120,51,880,Outside Villages,CD,UCUV,462,243,1017,695,322,2842890.49136353,7933.73690648551
30,530330024002,100.24398148,0,2400,2,2400.2,Block Group 2,24,4,0,Outside Villages,5Y23,1421,33,268,211,39.4,736,685,1033,13,0,236,22,0,46,71,388,662,347,315,249,26,780,809,141,362,241,75,97,324,108,39,100,0,671,406,75,173,17,0,20,138,151,182,150,21,1140,117,1408,0,1388,272,91,0,0,0,0,0,307,355,129,229,71,1106,1421,1028,792,629,1637,3411,78398,123333,125938,93393,395,251,124,170268,93052,92540,507,98,157,0,53,150,172,942,0,1174,292,869,54,1421,9,31,8,51,61,18,1243,347,6,6,0,0,0,929,21,9,751,Outside Villages,CD,UCUV,306,238,888,475,413,4366348.97860718,10604.1916978881
31,530330030001,101.50545445,0,3000,1,3000.1,Block Group 1,30,6,0,Outside Villages,5Y23,1777,9,367,181,38.8,843,934,1437,85,0,50,0,29,113,63,340,739,564,175,136,0,1124,1059,379,425,70,20,149,197,235,65,23,11,739,651,42,36,0,0,0,44,168,311,181,35,1405,7,1772,7,1768,50,0,0,0,0,0,0,524,215,87,425,60,1331,1772,1555,1311,461,2859,3261,105665,218365,152931,-,538,467,71,248750,80074,103750,757,56,159,75,30,212,158,1229,5,1473,396,1077,0,1772,41,0,0,0,77,0,1654,564,21,0,0,21,0,1229,21,0,1041,Outside Villages,CD,UCUV,556,330,1147,677,470,4421323.11141968,10287.3311290886
32,530330036013,26.59842328,0,3601,3,3601.3,Block Group 3,36.01,6,207,Green Lake,5Y23,1082,20,89,383,47.5,530,552,806,0,0,80,0,46,51,99,276,700,203,497,413,29,745,560,193,148,204,181,52,208,64,43,0,0,700,43,102,355,200,0,131,311,180,51,27,0,942,149,1031,0,1062,177,35,0,0,0,0,0,160,540,296,92,27,993,1031,444,316,715,1733,4001,88820,101300,103007,99646,363,127,236,-,-,98653,399,0,95,0,66,97,298,610,51,1022,443,579,19,1031,39,0,36,70,44,0,842,203,19,0,0,19,0,608,19,19,533,Residential Urban Village,CD,UCUV,226,230,637,334,303,1158545.98849487,6134.55747268006
33,530330038002,68.89396882,0,3800,2,3800.2,Block Group 2,38,4,0,Outside Villages,5Y23,1069,42,204,48,30.5,612,457,653,8,0,222,0,53,14,119,416,386,198,188,85,0,706,707,290,268,93,0,62,143,179,23,10,0,419,382,37,0,0,0,0,6,89,108,107,76,865,77,1069,0,1027,233,83,28,0,12,16,0,258,128,43,129,44,825,1063,677,632,431,3039,4001,104065,204643,195495,106875,310,180,123,198587,138393,111855,570,0,106,22,17,122,41,817,6,891,176,715,0,1069,47,31,9,1,7,24,950,198,0,0,0,0,0,817,77,36,701,Outside Villages,CD,UCUV,428,171,750,454,296,3000844.45953369,7727.43350628476
34,530330044012,62.61502107,0,4401,2,4401.2,Block Group 2,44.01,4,202,Roosevelt,5Y23,1274,30,220,139,36,790,484,939,0,0,131,0,0,52,152,335,471,269,202,167,15,728,865,238,333,207,25,22,411,126,59,9,0,497,333,26,45,93,0,102,45,32,103,104,85,1054,59,1274,9,1244,249,14,14,0,0,14,0,295,176,89,221,9,918,1274,1013,1047,227,2000,3423,105192,233068,119124,160417,327,269,58,250000+,-,98375,597,93,84,17,74,131,97,915,0,1089,213,876,11,1274,40,35,0,17,11,0,1171,269,0,0,0,0,0,868,75,35,808,Residential Urban Village,CD,UCUV,448,231,945,586,359,2727323.95794678,8905.04636328897
35,530330045001,68.15512372,0,4500,1,4500.1,Block Group 1,45,4,0,Outside Villages,5Y23,1040,35,35,87,26.3,624,416,598,8,0,233,0,0,110,91,442,377,133,244,112,12,427,736,106,122,263,44,38,275,187,81,31,18,406,244,119,37,6,0,50,49,106,75,69,28,1005,65,1040,19,1005,197,35,0,0,0,0,0,143,234,129,111,16,573,1017,333,327,690,2116,3233,63157,124896,121458,123021,212,98,114,177019,-,34028,510,110,114,13,51,34,50,918,23,1005,186,819,21,1040,174,57,30,34,109,15,621,133,0,0,0,0,0,910,230,170,778,Outside Villages,CD,UCUV,172,179,912,579,333,2968663.84954834,7452.09414804677
36,530330047012,85.21997427,43.71689569,4701,2,4701.2,Block Group 2,47.01,6,303,Ballard,5Y23,1328,105,105,146,30,767,561,969,0,0,71,0,52,58,178,359,869,182,687,506,0,863,777,477,209,21,159,0,125,154,0,21,0,916,0,0,222,694,88,183,421,265,0,0,0,1223,192,1328,0,1223,136,71,71,0,0,71,0,90,779,391,19,0,1015,1328,384,107,1221,2199,-,79221,97361,81808,103196,433,145,288,-,79098,76325,631,35,111,0,0,88,146,1077,0,1223,219,1004,227,1328,166,53,0,23,0,0,1086,182,0,0,0,0,0,1077,219,18,756,Hub Urban Village,CD,UCUV,405,345,909,511,398,3597895.02844238,11580.6503470188
